id,user_id,product_id,rating,comment,created_at
36,8,12,1,誤植が多く正誤表を確認しながら読むのが大変でした。,2023-06-27 22:19:30
37,4,13,4,データ前処理のテクニックが実務に直結して助かりました。,2023-06-30 09:19:44
38,4,2,5,青軸の打鍵感が心地よくプログラミングが捗ります！最高の打鍵音です。,2023-07-03 10:09:30
39,2,13,4,データ前処理のテクニックが実務に直結して助かりました。,2023-07-04 15:43:39
40,3,15,2,数週間で反発力が弱まりヘタってしまいました。,2023-07-06 13:05:21
41,9,10,4,焙煎度がちょうどよく、ハンドドリップで淹れると豆がしっかり膨らみます。,2023-07-06 19:12:00
42,7,1,4,手にしっかりフィットして使いやすいです。コスパ良好。,2023-07-20 02:00:18
43,7,16,3,SDカードスロットの抜き差しが少し固いですが機能は十分。,2023-07-20 15:55:24
44,8,15,5,腰の負担が劇的に軽減されました！デスクワークの必需品です。,2023-07-20 23:40:58
45,5,10,5,朝の一杯に欠かせないお気に入りの豆になりました。リピートしています！,2023-07-23 21:19:54
46,2,11,5,フルーティーな香りでサラダやパンにそのままかけると絶品です。,2023-07-26 14:39:48
47,4,16,3,全ポート使用時は本体がそこそこ温かくなります。,2023-07-28 15:25:59
48,11,4,4,通話マイクの性能が良くWeb会議でも大活躍しています。,2023-07-28 18:47:48
49,11,12,5,実務で使える実践的なクエリが満載でデスクの常備本になりました。,2023-07-28 22:47:48
50,5,9,5,軽くて暖かく、色味も上品で冬のマストアイテムになりました。,2023-07-29 14:38:58
51,8,4,3,ノイキャン特有の圧迫感が少し気になりますが慣れれば大丈夫です。,2023-07-30 12:41:14
52,11,9,1,届いた時点でほつれがあり、返品対応をお願いしました。,2023-08-02 13:47:48
53,11,15,5,腰の負担が劇的に軽減されました！デスクワークの必需品です。,2023-08-03 09:47:48
54,2,16,3,全ポート使用時は本体がそこそこ温かくなります。,2023-08-05 12:17:44
55,11,6,4,オーガニックコットンの風合いがとても気に入っています。,2023-08-11 13:43:40
56,12,18,4,紙質が滑らかでボールペンでもさらさら書けます。,2023-08-12 13:24:15
57,2,15,4,姿勢が自然と良くなります。カバーが洗えるのも衛生的。,2023-08-14 11:00:07
58,12,9,5,軽くて暖かく、色味も上品で冬のマストアイテムになりました。,2023-08-15 00:24:15
59,5,11,5,青々しいフレッシュな風味が格別でリピートしています。,2023-08-16 08:58:55
60,8,13,5,初学者でもつまずかずに進められる丁寧な解説でした！,2023-08-17 02:47:12
61,11,18,5,革の質感が素晴らしく、万年筆で書いても裏抜けしません。,2023-08-21 13:01:29
62,1,18,4,紙質が滑らかでボールペンでもさらさら書けます。,2023-08-22 17:55:39
63,8,8,5,上品なデザインで褒められることが多いです。裏地もしっかりしています。,2023-08-26 00:51:30
64,9,11,5,フルーティーな香りでサラダやパンにそのままかけると絶品です。,2023-09-02 23:00:49
65,5,15,5,腰の負担が劇的に軽減されました！デスクワークの必需品です。,2023-09-04 09:55:05
66,3,14,4,給水がしやすく手入れも簡単。香りの広がりも良いです。,2023-09-04 21:39:06
67,8,5,2,屋外の広い場所だとややパワー不足を感じました。,2023-09-05 09:49:38
68,5,13,5,pandasやmatplotlibの使いこなしに非常に役立ちました。,2023-09-06 11:51:02
69,11,13,5,pandasやmatplotlibの使いこなしに非常に役立ちました。,2023-09-07 12:14:21
70,9,16,4,コンパクトで持ち運びに便利。ケーブルの長さもちょうど良い。,2023-09-13 22:19:03
71,6,16,5,ポート数が多くてMacBookとの相性が抜群です。発熱も控えめ。,2023-09-15 14:06:44
72,4,10,1,豆の粒が不揃いで割れ豆が多く混ざっていました。,2023-09-18 01:21:03
73,8,9,4,首回りの開き具合が絶妙でインナーが見えません。,2023-09-23 09:24:44
74,11,17,5,解像度が非常に高く、細かい音までしっかり聴き取れます。モニター用途に最高。,2023-09-25 08:48:46
75,13,10,4,コクがあってブラックでもカフェラテでも美味しくいただけます。,2023-09-29 21:38:22
76,12,4,5,ノイズキャンセリングが強力で通勤時の集中に役立っています。音質もクリア！,2023-10-02 17:19:41
77,13,12,4,初学者から中級者へのステップアップに最適な一冊です。,2023-10-05 15:33:40
78,6,12,4,初学者から中級者へのステップアップに最適な一冊です。,2023-10-07 08:22:29
79,8,1,5,反応速度が抜群で握り心地も最高です。長時間のプレイでも疲れません。,2023-10-07 17:09:39
80,8,16,3,全ポート使用時は本体がそこそこ温かくなります。,2023-10-08 07:01:02
81,4,20,4,土台が安定していて倒れる心配がありません。タッチ操作も快適。,2023-10-09 16:22:08
82,9,13,4,データ前処理のテクニックが実務に直結して助かりました。,2023-10-15 15:47:57
83,6,13,5,pandasやmatplotlibの使いこなしに非常に役立ちました。,2023-10-16 07:22:29
84,8,10,5,朝の一杯に欠かせないお気に入りの豆になりました。リピートしています！,2023-10-20 06:04:51
85,7,6,4,オーガニックコットンの風合いがとても気に入っています。,2023-10-20 16:34:37
86,14,18,4,開きが良くて書きやすい。クラシックな雰囲気が気に入っています。,2023-10-28 09:06:19
87,5,12,5,実務で使える実践的なクエリが満載でデスクの常備本になりました。,2023-10-30 14:02:51
88,14,6,3,生地が厚手な分、真夏は少し暑く感じるかもしれません。,2023-11-09 14:06:19
89,7,13,4,データ前処理のテクニックが実務に直結して助かりました。,2023-11-15 13:41:05
90,14,11,4,辛味や苦味のバランスが良くどんな料理にも合います。,2023-11-17 15:15:33
91,4,19,4,コンパクトで壁掛けもできて置き場所に困りません。,2023-11-26 12:03:59
92,14,13,4,具体的なデータセットを使った実践例が多くて理解しやすい。,2023-11-29 08:15:13
93,2,19,2,Wi-Fiがたまに切断されて再接続が必要になります。,2023-12-04 20:45:19
94,14,1,4,手にしっかりフィットして使いやすいです。コスパ良好。,2023-12-05 20:15:13
95,17,15,5,腰の負担が劇的に軽減されました！デスクワークの必需品です。,2023-12-15 08:32:42
96,4,1,4,クリック感が軽快で良い。ホイールの回し心地も適度な重さがあります。,2023-12-16 11:24:58
97,11,19,5,表示が見やすくアプリのロググラフも直感的で使いやすい。,2023-12-19 18:43:29
98,19,7,4,型崩れしにくく毎日の通勤で重宝しています。,2023-12-21 01:06:12
99,19,13,1,サンプルコードがそのままでは動かない箇所が複数ありました。,2023-12-30 20:06:12
100,19,17,3,側圧が少し強めなのでヘッドバンドを少し広げて使っています。,2023-12-31 16:06:12
101,18,20,4,読書やPC作業に合わせて色温度を変えられるのが便利。,2024-01-06 10:48:18
102,11,8,4,春夏にぴったりの軽やかさで上品なデザインです。,2024-01-08 10:45:45
103,13,1,4,クリック感が軽快で良い。ホイールの回し心地も適度な重さがあります。,2024-01-08 17:51:20
104,18,5,3,音量は十分ですが、高音域が少しこもる印象を受けます。,2024-01-10 09:48:18
105,9,7,5,シルエットが綺麗で履き心地もよくリピート確定です！,2024-01-24 06:00:44
106,15,4,4,通話マイクの性能が良くWeb会議でも大活躍しています。,2024-01-24 09:18:42
107,4,18,3,ページ数がもう少し多いとさらに嬉しいです。,2024-01-24 20:17:52
108,12,16,4,急速充電しながら全てのポートを使っても安定しています。,2024-01-31 05:03:40
109,10,5,5,コンパクトなのに低音がしっかり響いてキャンプで大活躍しています。,2024-02-02 06:00:29
110,14,10,4,焙煎度がちょうどよく、ハンドドリップで淹れると豆がしっかり膨らみます。,2024-02-17 01:36:05
111,15,16,5,HDMI出力も安定しており4Kディスプレイで快適に使えています。,2024-02-19 18:30:27
112,15,15,5,低反発の弾力が絶妙で長時間座っていてもお尻が痛くなりません。,2024-02-21 17:37:00
113,15,1,4,クリック感が軽快で良い。ホイールの回し心地も適度な重さがあります。,2024-03-09 01:36:33
114,20,6,4,首元が伸びにくく着心地抜群。カラーバリエーションを増やしてほしい。,2024-03-10 05:54:31
115,15,10,1,豆の粒が不揃いで割れ豆が多く混ざっていました。,2024-03-10 10:36:33
116,24,15,5,腰の負担が劇的に軽減されました！デスクワークの必需品です。,2024-03-11 05:15:30
117,17,3,4,ドット抜けもなく発色も自然で気に入っています。,2024-03-15 07:10:09
118,20,9,5,カシミヤ混で肌触りがチクチクせずとても暖かいです。,2024-03-18 04:54:31
119,20,15,4,硬すぎず柔らかすぎず適度なサポート感があります。,2024-03-21 09:54:31
120,14,14,5,北欧風のデザインが部屋に馴染み、ミストの出方も静かで癒やされます。,2024-03-21 13:32:24
121,22,2,3,LEDバックライトは綺麗ですが、キーストロークが少し深めに感じます。,2024-03-23 22:28:21
122,19,18,5,革の質感が素晴らしく、万年筆で書いても裏抜けしません。,2024-03-24 12:50:44
123,22,11,5,フルーティーな香りでサラダやパンにそのままかけると絶品です。,2024-03-25 11:12:27
124,19,14,1,1ヶ月経たずにミストが出なくなりました。,2024-03-29 03:50:44
125,9,19,5,スマホで部屋の環境が可視化できてエアコン連携も便利です！,2024-03-29 19:15:04
126,21,19,4,コンパクトで壁掛けもできて置き場所に困りません。,2024-03-30 13:59:51
127,13,6,3,生地はしっかりしていますがサイズ感が少し小さめでした。,2024-04-01 01:51:08
128,19,8,3,色が写真よりもやや落ち着いたトーンでした。,2024-04-03 00:57:43
129,7,14,4,インテリアとして置くだけでもおしゃれで気に入っています。,2024-04-03 01:22:08
130,4,14,4,インテリアとして置くだけでもおしゃれで気に入っています。,2024-04-04 12:16:20
131,21,10,5,朝の一杯に欠かせないお気に入りの豆になりました。リピートしています！,2024-04-10 14:21:49
132,24,4,5,ノイズキャンセリングが強力で通勤時の集中に役立っています。音質もクリア！,2024-04-11 21:50:10
133,22,13,3,ライブラリのバージョン差異によるエラーの注意書きが欲しい。,2024-04-16 04:53:27
134,8,7,3,丈の長さが好みの位置より少し長めでした。,2024-04-29 02:42:30
135,10,15,4,姿勢が自然と良くなります。カバーが洗えるのも衛生的。,2024-04-30 20:38:00
